The	AT the AT-TL the
energy	NN energy
displayed	VBN display
hilt	NN hilt
ideas	NNS idea
Prince	NN-TL prince
trusting	JJ trust
gradually	RB gradually
relinquish	VB relinquish
factor	NN factor
Fulbright	NP fulbright
D	NP d
Arkansas	NP arkansas
Relations	NNS-TL relation
25	CD 25 CD-TL 25
erred	VBN err VBD err
half	ABN half RB half
encouraging	VBG encourage JJ encourage
removal	NN removal
extraordinary	JJ extraordinary
check	VB check NN check
rapid	JJ rapid
growth	NN growth
juvenile	JJ juvenile NN juvenile
delinquency	NN delinquency
deeply	QL deeply RB deeply
vitality	NN vitality
nation	NN nation
important	JJ important
assertion	NN assertion
executive	NN executive
establishing	VBG establish
Juvenile	JJ-TL juvenile
Delinquency	NN-TL delinquency
Crime	NN-TL crime
supported	VBN support VBD support
assisted	VBN assist
Citizens	NNS-TL citizen
Advisory	JJ-TL advisory
recognized	VBN recognize VBD recognize
asks	VBZ ask
cooperation	NN cooperation
enactment	NN enactment
specified	VBN specify
combating	VBG combat
disturbing	JJ disturb
crime	NN crime
trend	NN trend
Offenses	NNS-HL offense
multiply	VB-HL multiply
Attorney	NN-TL attorney NN attorney
Labor	NN-TL labor NN-HL labor
coordinate	VB coordinate
assist	VB assist NN assist
communities	NNS community
cope	VB cope
Simultaneously	RB simultaneously
David	NP david NP-TL david
Hackett	NP hackett
Youth	NN-TL youth
sense	NN sense
urgency	NN urgency
stems	VBZ stem
arrests	NNS arrest
doubled	VBN double VBD double
1948	CD 1948
offenders	NNS offender
Among	IN among
Federal	JJ-TL federal JJ federal
Bureau	NN-TL bureau
Investigation	NN-TL investigation
1959	CD 1959
larceny	NN larceny
Providence	NP-TL providence NP providence
organize	VB organize
civil	JJ civil
setup	NN setup
appointing	VBG appoint
full-time	JJ full - time
Raymond	NP raymond
H.	NP h.
Hawksley	NP hawksley
CD	NN cd
anyone	PN anyone
else	RB else
locally	RB locally
outline	VB outline
earliest	JJT early
state's	NN$ state 's
part-time	JJ part - time
Noting	VBG note
handed	VBN hand VBD hand
Defense	NN-TL defense
responsibility	NN responsibility
salary	NN salary
expressed	VBD express
opinion	NN opinion
hire	VB hire
$3,500	NNS $ 3,500
basis	NN basis
defray	VB defray
believed	VBD believe VBN believe
residents	NNS resident
job	NN job
men	NNS man NNS-HL man
Fire	NN-TL fire
Laughlin	NP laughlin
Along	RB along IN along
headquarters	NN headquarters NNS headquarters
pertinent	JJ pertinent
centralized	VBN centralized
advantage	NN advantage
having	HVG have
eligible	JJ eligible
apply	VB apply
financial	JJ financial
equipment	NN equipment
Matching	VBG match
procurement	NN procurement
radios	NNS radio
sirens	NNS siren
rescue	NN rescue VB rescue
trucks	NNS truck
vehicle	NN vehicle
Central	JJ-TL central
Station	NN-TL station
assign	VB assign
Riverside	NP riverside
section	NN section
Rumford	NP rumford
Speaking	VBG speak
status	NN status
bet	VB bet VBD bet
hundred	CD hundred
know	VB know VB-HL know
enemy	NN enemy
Narragansett	NP-TL narragansett
Race	NN-TL race
Track	NN-TL track
grounds	NNS ground
assembly	NN assembly
point	NN point NN-HL point
drive-in	NN drive - in
theater	NN theater
Seekonk	NP seekonk
knowing	VBG know
assemble	VB assemble
air	NN air
Such	JJ such ABL such
vital	JJ vital
frequently	RB frequently
regular	JJ regular
intervals	NNS interval
fails	VBZ fail
consider	VB consider
call	VB call NN call
September	NP september
developed	VBN develop VBD develop
things	NNS thing
classes	NNS class
drifts	VBZ drift
level	NN level
examine	VB examine
revisions	NNS revision
Governor	NN-TL governor
Notte	NP notte
name	VB name NN name
move	NN move VB move
form	NN form VB form
letter	NN letter
Miss	NP miss
Mary	NP mary
Grant	NP grant
deputy	JJ deputy
clerk	NN clerk VB clerk
Falls	NNS-TL falls
copy	NN copy
released	VBN release VBD release
responding	VBG respond
urges	VBZ urge
complete	JJ complete VB complete
eye	NN eye
legislature	NN legislature
Legislative	JJ-TL legislative
perform	VB perform
review	NN review
Atty.	NN-TL atty .
Gen.	JJ-TL gen. NN-TL gen.
Joseph	NP joseph
Nugent	NP nugent
views	VBZ view NNS view
appoint	VB appoint
Nugent's	NP$ nugent 's
expect	VB expect
religious	JJ religious
labor	NN labor
special-interest	NN special - interest
affected	VBN affected
wrote	VBD write
continuous	JJ continuous
confronts	VBZ confront
enforcement	NN enforcement
officers	NNS officer
regulating	VBG regulate
advised	VBN advise VBD advise
enforce	VB enforce
Should	MD should
shirking	VBG shirk
activity	NN activity
across	IN across RP across IN-HL across
statutes	NNS statute
Bay	NN-TL bay
dating	VBG date
instances	NNS instance
colonial	JJ colonial
times	NNS time
severely	RB severely
limit	VB limit
types	NNS type
merchandise	NN merchandise
sold	VBN sell VBD sell
Sabbath	NP sabbath
concern	NN concern NN-HL concern VB concern
especially	RB especially
foods	NNS food
placed	VBN place
list	NN list
neighborhood	NN neighborhood
grocery	NN grocery
variety	NN variety
stores	NNS store
chance	NN chance
compete	VB compete
supermarkets	NNS supermarket
council's	NN$ council 's
small	JJ small
shops	NNS shop
retained	VBN retain VBD retain
livelihood	NN livelihood
thousands	NNS thousand
declares	VBZ declare
licenses	NNS license
revenue	NN revenue
factory	NN factory
outlets	NNS outlet
operate	VB operate
contended	VBN contend
shopping	VBG shopping
Liberals	NNS liberal
conservatives	NNS conservative
parties	NNS party
independent	JJ independent
Reama	NP reama
nationally	RB nationally
known	VBN know
labor-management	NN labor - management
expert	NN expert
Rotary	JJ-TL rotary NP rotary NP-TL rotary
Club	NN-TL club
luncheon	NN luncheon
Sheraton-Biltmore	NP-TL sheraton - biltmore
Hotel	NN-TL hotel
type	NN type
enterprise	NN enterprise
regrouping	NN regroup
average	JJ average NN average
voter	NN voter
pull	NN pull VB pull
lever	NN lever
confessing	VBG confess
member	NN member
Socialist	JJ-TL socialist NN-TL socialist
1910	CD 1910
That	DT that CS that
machinist	NN machinist
toolmaker	NN toolmaker
fellow	NN fellow
grooming	VBG groom
me	PPO i
steered	VBD steer
utilities	NNS utility
pooling	VBG pool
resources	NNS resource
gaining	VBG gain
victory	NN victory
original	JJ original
retired	VBD retire VBN retire
vice	NN vice
Screw	NN-TL screw
1955	CD 1955
us	PPO we
gross	JJ gross NN gross
product	NN product
neither	DTX neither CC neither
favors	VBZ favor
wage	NN wage VB wage
increases	NNS increase
manufacturers	NNS manufacturer
caught	VBN catch VBD catch
profit	NN profit VB profit
squeeze	NN squeeze
conditioned	VBN condition
Indicating	VBG indicate
turned	VBN turn VBD turn
philosophy	NN philosophy
dividing	VBG divide
everything	PN everything
really	RB really
engaged	VBN engage
industrial	JJ industrial
counseling	NN counseling
bearing	VBG bear
1,700	CD 1,700
Johnston	NP johnston NP-TL johnston
presented	VBN present VBD present
town	NN town
obtaining	VBG obtain
charter	NN charter
Martinelli	NP martinelli
Group	NN-TL group
transferred	VBD transfer
hand	NN hand VB hand
suggestion	NN suggestion
Fortin	NP fortin
Sr.	NP sr .
governs	VBZ govern
referred	VBN refer
canvassers	NNS canvasser
happens	VBZ happen
explained	VBD explain
assure	VB assure
scheduling	NN scheduling
60	CD 60
completes	VBZ complete
difference	NN difference
arose	VBD arise
Bourcier	NP bourcier
solicitor	NN solicitor
exact	JJ exact
handled	VBN handle VBD handle
justices	NNS justice
favoring	VBG favor
assured	VBD assure VBN assure
correct	JJ correct VB correct
strategy	NN strategy
movement	NN movement
undoubtedly	RB undoubtedly
comes	VBZ come
inspiring	VBG inspire
think	VB think
hope	VB hope NN hope
spearhead	VB spearhead
surprised	VBN surprised VBD surprised
running	VBG run
non-partisan	JJ non - partisan
posts	NNS post
Our	PP$ our PP$-TL our
goal	NN goal
awareness	NN awareness
timetable	NN timetable
followed	VBN follow VBD follow
started	VBD start VBN start
town's	NN$ town 's
insurgent	JJ insurgent
speaking	VBG speak
model	JJ model NN model
municipal	JJ municipal
league	NN league
Increasing	VBG increase
Misunderstanding	VBG misunderstand
meaning	NN mean VBG mean
cited	VBN cite VBD cite VBN-HL cite
false	JJ false
pretenses	NNS pretense
signers	NNS signer
affixed	VBN affix
consent	NN consent
provision	NN provision
included	VBN include VBD include
Sanitary	JJ-TL sanitary
sewer	NN sewer
Action	NN action
ordinance	NN ordinance
motorists	NNS motorist
plead	VB plead
guilty	JJ guilty
minor	NN minor JJ minor
traffic	NN traffic
offenses	NNS offense
fines	NNS fine
station	NN station
Monday's	NR$ monday 's
Town	NN-TL town
SanAntonio	NP sanantonio
Solicitor	NN-TL solicitor
Michael	NP michael
Abatuno	NP abatuno
draft	VB draft
At	IN at
authorized	VBN authorize VBD authorize
adopt	VB adopt
Nothing	PN nothing PN-HL nothing
Sixth	OD-TL sixth
disposition	NN disposition
Local	JJ local NN-TL local
hesitated	VBN hesitate
prosecute	VB prosecute
heavy	JJ heavy
simplest	JJT simple
offense	NN offense
Plainfield	NP-HL plainfield NP plainfield
Mitchell	NP mitchell
Walter	NP walter
R-Bergen	NN r - bergen
value	NN value NN-HL value
using	VBG use
remark	NN remark
Campaigning	VBG campaign
carcass	NN carcass
Republicanism	NP republicanism
Dumont	NP dumont
R-Warren	NN r - warren
spoke	VBD speak
100	CD 100
Park	NN-TL park
controversial	JJ controversial
Westfield	NP-TL westfield NP westfield
Young	JJ-TL young JJ young
cocktail	NN cocktail
Scotch	JJ-TL scotch
Plains	NNS-TL plain
Country	NN-TL country
greeted	VBN greet VBD greet
chorus	NN chorus
boos	NNS boo
500	CD 500
women	NNS woman
Trenton	NP trenton NP-HL trenton
forum	NN forum
Federation	NN-TL federation
Women's	NNS$-TL woman 's
Clubs	NNS-TL club
intention	NN intention
stopped	VBD stop VBN stop
beating	VBG beat
lifeblood	NN lifeblood
congealed	VBD congeal
Now	RB now
he's	PPS+HVZ he be PPS+BEZ he be
gone	VBN go
sell	VB sell NN sell
tattered	VBN tattered
remains	NNS remain VBZ remain
love	VB love
considered	VBD consider VBN consider
mediocre	JJ mediocre
nothing	PN nothing
fall	NN fall NN-HL fall
common	JJ common NN common
decency	NN decency
proud	JJ proud
adminstration	NN adminstration
closeness	NN closeness
fall's	NN$ fall be
dead	JJ dead
Regrets	VBZ-HL regret
regretted	VBD regret
wrong	JJ wrong
inject	VB inject
waged	VBN wage
issues	NNS issue
re-arguing	VBG re - argue
respond	VB respond
either	CC either DTX either
applause	NN applause
Hughes'	NP$ hughes '
merit	NN merit
open	JJ open RB open VB open NN open
launched	VBD launch VBN launch
continuance	NN continuance
passenger	NN passenger
proper	JJ proper
uses	NNS use
surplus	NN surplus
Jersey	NP-TL jersey NP jersey
attractive	JJ attractive
industry	NN industry NN-HL industry
Decries	VBZ-HL decry
joblessness	NN-HL joblessness
decried	VBD decry
unemployment	NN unemployment
Meyner	NP meyner
Republican-controlled	JJ republican - control
share	VB share NN share
blame	NN blame
Mack	NP-TL mack
Truck	NN-TL truck
plant	NN plant VB plant
until	CS until IN until
am	BEM be
income	NN income
unhappy	JJ unhappy
minutes	NNS minute
saved	VBD save
barbs	NNS barb
centralization	NN centralization
looks	VBZ look
Administration	NN-TL administration
transportation	NN transportation
crises	NNS crisis
saying	VBG say
ways	NNS way
faced	VBN face
motor	NN motor
vehicles	NNS vehicle NNS-HL vehicle
challenge	VB challenge NN challenge
stands	VBZ stand NNS stand
Defends	VBZ-HL defend
Ike	NP-HL ike
Earlier	RBR early
resent	VB resent
reference	NN reference
discredited	VBN discredit
president's	NN$ president 's
insult	NN insult
twice	RB twice
overwhelmingly	RB overwhelmingly
symbol	NN symbol
peace-loving	JJ peace - love
intentions	NNS intention
understand	VB understand
seeking	VBG seek
position	NN position
life	NN life
demonstrate	VB demonstrate
judgment	NN judgment
bad	JJ bad
taste	NN taste
vicious	JJ vicious
origin	NN origin
desire	NN desire
try	VB try
condemning	VBG condemn
stature	NN stature
rebound	VB rebound
discredit	NN discredit
Sees	VBZ-HL see
ahead	RB-HL ahead RB ahead
Sandman	NP sandman
R-Cape	NN r - cape
May	NP may NP-HL may
opponents	NNS opponent
nomination	NN nomination
addressing	VBG address
Military	JJ-TL military
Newark	NP newark
Essex	NP-TL essex
leaders	NNS leader
managers	NNS manager
gathering	NN gather VBG gather
indicate	VB indicate
chosen	VBN choose
Party's	NN$-TL party 's
nominee	NN nominee
majority	NN majority
announcement	NN announcement
Clifford	NP clifford
Case	NP case NP-TL case
spend	VB spend
campaigning	VBG campaign
giveaway	NN giveaway
desperate	JJ desperate
prop	VB prop
sagging	VBG sag
proven	VBN prove
answer	VB answer NN answer
Jersey's	NP$ jersey 's
witnessed	VBN witness
image	NN image
failed	VBD fail VBN fail
witnessing	VBG witness
transfer	VB transfer
glow	NN glow VB-HL glow
Case's	NP$ case 's
candidacy	NN candidacy
fail	VB fail
Harriet	NP harriet
Copeland	NP copeland
Greenfield	NP greenfield
330	CD 330
Woodland	NN-TL woodland
Ave.	NN-TL ave .
Women	NNS-TL woman
committeewoman	NN committeewoman
Supervisor	NN-TL supervisor
Weldon	NP weldon
Sheets	NP sheet
paper	NN paper
ballots	NNS ballot
represents	VBZ represent
necessary	JJ necessary
democracy	NN democracy
lip	NN lip
financing	VBG finance
purchase	NN purchase VB purchase
machines	NNS machine
repay	VB repay
10-year	JJ 10 - year
exclusive	JJ exclusive
January	NP january
1964	CD 1964
Although	CS although
mandatory	JJ mandatory
impinging	VBG impinge
basically	RB basically
distasteful	JJ distasteful
results	NNS result
transcended	VBD transcend
Sheeran	NP sheeran
Orange	NP-TL orange
Edward	NP edward
Roos	NP roo
safety	NN safety
commissioner	NN commissioner
FBI	NN fbi
organization's	NN$ organization 's
Freeholder	NN-TL freeholder
MacDonald	NP macdonald
vacancy	NN vacancy
Neil	NP neil
Duffy	NP duffy
Appeals	NNS-TL appeal NNS appeal
My	PP$ my
experience	NN experience
shown	VBN show
filled	VBN fill VBD fill
preferably	RB preferably
Jim	NP jim
fits	VBZ fit
description	NN description
Seidel	NP seidel
warden	NN warden
Conservation	NN-TL conservation NN-HL conservation
36	CD 36
citation	NN citation
Commissioner	NN-TL commissioner NN-TL-HL commissioner
Salvatore	NP salvatore
Bontempo	NP bontempo
credits	VBZ credit
supervision	NN supervision
reduction	NN reduction
forest	NN forest
fires	NNS fire
1925	CD 1925
division	NN division
graduation	NN graduation
1921	CD 1921
Michigan	NP-TL michigan NP michigan
forestry	NN forestry
private	JJ private
lumber	NN lumber
October	NP october
1944	CD 1944
Forest	NN-TL forest
Section	NN-TL section
fire-fighting	JJ fire - fighting
techniques	NNS technique
plowing	VBG plow
established	VBD establish VBN establish
tractor	NN tractor
plows	NNS plow
units	NNS unit
expanded	VBD expand VBN expand
modernized	VBD modernized
central	JJ central
briefing	VBG briefing
wardens	NNS warden
training	NN training VBG training
credited	VBN credit VBD credit
co-operative	JJ co - operative
co-operation	NN co - operation
Cross	NN-TL cross
Boonton	NP-HL boonton
debut	NN debut
bid	NN bid VBD bid
pledge	NN pledge
corner	NN corner
nearly	RB nearly
Puddingstone	NP puddingstone
Inn	NN-TL inn
you'll	PPSS+MD you 'll
You're	PPSS+BER you be
you're	PPSS+BER you be
we're	PPSS+BER we be
glad	JJ glad
Democrats	NPS democrats
resolve	VB resolve
expedient	JJ expedient
Attacks	VBZ-HL attack
tripping	VBG trip
feet	NNS foot
popular	JJ popular
slogans	NNS slogan
win	VB win NN-HL win
we'll	PPSS+MD we 'll
liberal	JJ liberal
planned	VBN plan VBN-HL plan VBD plan
forward	RB forward
looking	VBG look
honest	JJ honest
We'll	PPSS+MD we 'll
talk	VB talk NN talk
mouth	NN mouth
truth	NN truth
elect	VB elect
signs	NNS sign
Republicans'	NPS$ republicans '
feeble	JJ feeble
shall	MD shall
full	JJ full RB full
partner	NN partner
courageous	JJ courageous
attraction	NN attraction
stop	NN stop VB stop
piracy	NN piracy
Southern	JJ-TL southern
keep	VB keep
bloodstream	NN bloodstream
clean	JJ clean
To	TO to IN to TO-TL to
hoodlums	NNS hoodlum
infiltrating	VBG infiltrate
1940s	NNS 1940
Calling	VBG call
lives	VBZ live NNS live
breathes	VBZ breathe
representative	JJ representative NN representative
springboard	NN springboard
Meyner's	NP$ meyner 's
Green	JJ-TL green NP green
Acres	NNS-TL acre
tracts	NNS tract
land	NN land VB land
onrush	NN onrush
$60	NNS $ 60
underwrite	VB underwrite
$45	NNS $ 45
$15	NNS $ 15
alloted	VBN allot
municipalities	NNS municipality
conquer	VB conquer
space	NN space
conserve	VB conserve
pointing	VBG point
125,000	CD 125,000
1950	CD 1950
rapidly	RB rapidly
changing	VBG change
unless	CS unless
preserve	VB preserve
green	JJ green NN green
comment	VB comment NN comment
misconstrued	VBN misconstrue
sympathetic	JJ sympathetic
I'll	PPSS+MD i 'll
explicit	JJ explicit
bring	VB bring
dynamic	JJ dynamic
afraid	JJ afraid
tangle	VB tangle
Fifteen	CD fifteen
retiring	VBG retire
voluntarily	RB voluntarily
honored	VBN honor VBD honor
colleagues	NNS colleague
whose	WP$ whose
four-year	JJ four - year
terms	NNS term
expire	VB expire
carved	VBN carve
wooden	JJ wooden
elephants	NNS elephant
ivory	NN ivory
tusks	NNS tusk
remember	VB remember
retirements	NNS retirement
leaving	VBG leave
presentation	NN presentation
Geraldine	NP geraldine
Thompson	NP thompson
Bank	NN-TL bank
stepping	VBG step
She	PPS she
1920s	NNS 1920
adoption	NN adoption
women's	NNS$ woman 's
suffrage	NN suffrage
Resentment	NN resentment
welled	VBD well
Wagner	NP wagner
Paul	NP paul
Screvane	NP screvane NP-HL screvane
Abraham	NP abraham
Beame	NP beame NP-HL beame
mates	NNS mate
same	AP same
anti-organization	JJ anti - organization
Liberal	JJ-TL liberal
Mayor's	NN$-TL mayor 's
opportunity	NN opportunity
internal	JJ internal
resentment	NN resentment
regarded	VBD regard VBN regard
bigger	JJR big
Opposition	NN-HL opposition
trying	VBG try
induce	VB induce
Controller	NN-TL controller
Arthur	NP arthur
Levitt	NP levitt
Brooklyn	NP brooklyn NP-TL brooklyn
Mayoral	JJ-TL mayoral
7	CD 7 CD-TL 7 CD-HL 7
contend	VB contend
file	NN file
Their	PP$ their
view	NN view VB view
last-minute	NN last - minute
proposing	VBG propose
ticket	NN ticket
emphasize	VB emphasize
weakness	NN weakness
performance	NN performance
rival	JJ rival
slate	NN slate
Representative	NN-TL representative
Buckley	NP buckley NP-HL buckley
Bronx	NP bronx
T.	NP t.
Sharkey	NP sharkey
visits	VBZ-HL visit
usual	JJ usual
touch	NN touch
Carmine	NP carmine
G.	NP g.
Sapio	NP sapio
Manhattan	NP manhattan
publicly	RB publicly
believing	VBG believe
replaced	VBN replace VBD replace
Last	AP last AP-TL last
visited	VBD visit
leader's	NN$ leader 's
discussion	NN discussion
Apparently	RB apparently
key	NN key JJS key NN-HL key
acceptance	NN acceptance
choices	NNS choice
struggle	NN struggle
talks	NNS talk VBZ talk
assent	NN assent
dropping	VBG drop
Gerosa	NP gerosa
seems	VBZ seem
assumed	VBN assume VBD assume
pick	VB pick
Gerosa's	NP$ gerosa 's
successor	NN successor
declined	VBD decline
interviews	NNS interview
reporters	NNS reporter
confirm	VB confirm
deny	VB deny
Queens	NP queen
replace	VB replace
Abe	NP abe
Stark	NP stark
incumbent	JJ incumbent
Irish	JJ-TL irish
Counties	NNS-TL county
Feis	NP-TL feis
Hunter	NP-TL hunter
Campus	NN-TL campus
published	VBN publish
yesterday's	NR$ yesterday 's
Times	NNS-TL time
announce	VB announce
definite	JJ definite
June	NP-HL june NP june
16	CD-HL 16 CD 16
wave	NN wave
corruption	NN corruption
tangible	JJ tangible
feeling	NN feel
revulsion	NN revulsion
taxi	NN taxi
driver	NN driver
visitor	NN visitor
remarks	VBZ remark NNS remark
politicians	NNS politician
It's	PPS+BEZ it be PPS+BEZ-HL it be
See	VB see
scientist	NN scientist
writes	VBZ write
alienated	VBN alienated
influence	VB influence NN influence
corrupt	JJ corrupt
selfish	JJ selfish
beyond	IN beyond
secret	JJ secret
conspiracy	NN conspiracy
object	NN object
plunder	VB plunder
Corruption	NN corruption
widely	RB widely
identified	VBN identify VBD identify
locale	NN locale
Edwin	NP edwin
O'Connor's	NP$ o'connor 's
novel	NN novel JJ novel
Hurrah	UH-TL hurrah
reasons	NNS reason
spotlight	NN spotlight
succession	NN succession
publicized	VBN publicize
scandals	NNS scandal
aroused	VBN arouse
Graft	NN graft
works	NNS work VBZ work NNS-HL work
investigations	NNS investigation
attracted	VBN attract
ethical	JJ ethical
reader	NN reader
newspapers	NNS newspaper
escape	VB escape
petty	JJ petty
chicanery	NN chicanery
worse	JJR bad
norm	NN norm
Day	NN day NN-TL day NP day
episode	NN episode
Public	JJ-TL public JJ public
Works	NNS-TL work
accused	VBN accuse
$8,555	NNS $ 8,555
beach	NN beach
waterfront	NN waterfront
sharply	RB sharply
contrasting	VBG contrast
forecasts	NNS forecast
Southern-Republican	NP southern - republican
Administration's	NN$-TL administration 's
jockeying	VBG jockey
aid-to-education	NN aid - to - education
Rules	NNS-TL rule
uncertain	JJ uncertain
panel's	NN$ panel 's
depends	VBZ depend
Trimble	NP trimble
Democrat	NP democrat
siding	VBG side
Rayburn's	NP$ rayburn 's
Leadership	NN-HL leadership
hopeful	JJ-HL hopeful
encounter	VB encounter NN encounter
sometime	RB sometime
$6,100,000,000	NNS $ 6,100,000,000
provides	VBZ provide
forty-year	JJ forty - year
mortgages	NNS mortgage
low	JJ low RB low NN low
down-payments	NNS down - payment
moderate-income	NN moderate - income
families	NNS family
slums	NNS slum
colleges	NNS college
dormitories	NNS dormitory
appears	VBZ appear
temporarily	RB temporarily
stalled	VBN stall
Northern	JJ-TL northern
usually	RB usually
balking	VBG balk
Delaney	NP delaney
Thomas	NP thomas
O'Neill	NP o'neill
Three	CD-HL three CD three
quick	JJ quick
progress	NN progress
amending	VBG amend
Act	NN-TL act
long-term	NN long - term
loans	NNS loan
parochial	JJ parochial
private-school	NN private - school
science	NN science
languages	NNS language
mathematics	NN mathematic
public-school	NN public - school
clears	VBZ clear
About	RB about
Peace	NN-TL peace
assigned	VBN assign
agencies	NNS agency
carried	VBN carry VBD carry
corps	NN corps
$40,000,000	NNS $ 40,000,000
submitted	VBN submit
$26,000,000	NNS $ 26,000,000
universities	NNS university
Twelve	CD twelve
contract-negotiation	NN contract - negotiation
stage	NN stage
Gordon	NP gordon
Boyce	NP boyce
interview	NN interview
Six	CD six CD-HL six
Middle	JJ-TL middle
Question	NN-HL question
Interviews	NNS interview
confusion	NN confusion
goals	NNS goal
happen	VB happen
churchmen	NNS churchman
example	NN example
month	NN month
Ghana	NP ghana
missionary	NN missionary
discovered	VBD discover VBN discover
hotel	NN hotel
protested	VBD protest
owner	NN owner
Why	WRB why
worry	VB worry
U.	NP-TL u. NN-TL u.
S.	NP-TL s. NP s. JJ-TL s.
Government	NN-TL government NN government
pays	VBZ pay
overseas	NN overseas
Missionary	NN-HL missionary
explains	VBZ-HL explain VBZ explain
don't	DO* do n't
shrugged	VBD shrug
Same	AP same
remarked	VBD remark
classical	JJ classical
church-state	NN church - state
Can	MD can
separation	NN separation
Sargent	NP sargent
Shriver	NP shriver
No	AT no AT-HL no RB no AT-TL no
forswears	VBZ forswear
proselytizing	VBG proselytize
proposes	VBZ propose
Moscow	NP-HL moscow NP moscow
gay	JJ gay
Sukarno	NP sukarno
Indonesia	NP indonesia
Premier	NN-TL premier
Khrushchev	NP khrushchev
pulled	VBD pull VBN pull
beaming	VBG beam
Look	VB look
!	. ! .-HL !
jesting	VBG jest
expansive	JJ expansive
successful	JJ successful
banker	NN banker
twenty	CD twenty
under-developed	JJ under - develop
expanding	VBG expand
uncommitted	JJ uncommitted
allocated	VBD allocate
$1,000,000,000	NNS $ 1,000,000,000
Western	JJ-TL western
estimates	NNS estimate
biggest	JJT big
beginning	NN begin VBG begin
1954	CD 1954 CD-HL 1954
1960	CD 1960
6,000	CD 6,000
technicians	NNS technician
Nations	NNS-TL-HL nation NNS-TL nation NNS nation
N.	NP-HL n. JJ-TL n. NP n.
Y.	NP-HL y. NP y.
experts	NNS expert
country's	NN$ country 's
professional	JJ professional
amid	IN amid
intensified	VBN intensify
role	NN role
puts	VBZ put
premium	NN premium
strength	NN strength
jobs	NNS job
India	NP india
400,000,000	CD 400,000,000
inhabitants	NNS inhabitant
filling	VBG fill NN fill
Secretariat	NN-TL secretariat
panel	NN panel
completed	VBN complete
eighteen	CD eighteen
Formula	NN-HL formula
due	JJ-HL due RB due JJ due
Administrative	JJ-TL administrative
Budgetary	JJ-TL budgetary
Questions	NNS-TL question
understood	VBN understand
ninety-nine	CD ninety - nine
affairs	NNS affair
officer	NN officer NN-HL officer
economist	NN economist
start	VB start NN start
10,000,000	CD 10,000,000
150,000,000	CD 150,000,000
fifteen	CD fifteen
above	IN above JJ above
30,000,000	CD 30,000,000
cut-off	NN cut - off
forming	VBG form
unite	VB unite
war-ridden	JJ war - ridden
kingdom	NN kingdom
decision	NN decision
Zurich	NP zurich
Boun	NP boun
Oum	NP oum
royal	JJ royal
neutralists	NNS neutralist
Souphanouvong	NP souphanouvong
pro-Communist	JJ pro - communist
latter	AP latter
half-brothers	NNS half - brother
joint	NN joint
welcomed	VBN welcome
delegations	NNS delegation
nineteenth	OD nineteenth
plenary	JJ plenary
fourteen-nation	JJ fourteen - nation
agreement	NN agreement
Princes	NNS-TL prince
ease	VB ease
task	NN task
diplomats	NNS diplomat
conceded	VBD concede
overly	QL overly
optimistic	JJ optimistic
Tactics	NNS-HL tactic
Averell	NP averell
Harriman	NP harriman
Malcolm	NP malcolm
Britain	NP britain
Maurice	NP maurice
Couve	NP couve
Murville	NP murville
France's	NP$ france 's
Minister	NN-TL minister
Canada's	NP$ canada 's
External	JJ-TL external
meanwhile	RB meanwhile
round	NN round VB round JJ round
consultations	NNS consultation
tactics	NNS tactic
pace	NN pace NN-HL pace
slowed	VBN slow
Princess	NN-TL princess
Moune	NP moune
Phouma's	NP$ phouma 's
Princes'	NNS$-TL prince '
two-hour	JJ two - hour
cordial	JJ cordial
she	PPS she
Laotians	NPS laotians
six-point	JJ six - point
agenda	NN agenda
reached	VBN reach VBD reach
principles	NNS-HL principle NNS principle
guide	VB guide
factors	NNS factor
search	NN search
Appointment	NN appointment
Pfaff	NP pfaff
41	CD 41
promotion	NN promotion
manager	NN manager
Times-Picayune	NP-TL times - picayune
Publishing	VBG-TL publish
Company	NN-TL company
Saturday	NR saturday
Tims	NP tim
company	NN company
succeeds	VBZ succeed
Burke	NP burke
1946	CD 1946
commercial	NN commercial JJ commercial
artist	NN artist NN-HL artist
advertising	VBG advertising NN advertising
native	NN native
Orleans	NP-TL orleans NP orleans
Elementary	JJ-TL elementary
Fortier	NP fortier
Soule	NP soule
From	IN from
1942	CD 1942
December	NP december
1945	CD 1945
Air	NN-TL air
Field	NN-TL field NP field
Belleville	NP belleville
merchandising	VBG merchandise
wholesale	JJ wholesale
Audrey	NP audrey
Knecht	NP knecht
Karol	NP karol
reside	VB reside
4911	CD 4911
Miles	NP-TL mile NP mile
Thousands	NNS thousand
bleacher-type	JJ bleacher - type
seats	NNS seat
erected	VBN erect
Pennsylvania	NP-TL pennsylvania NP pennsylvania
Avenue	NN-TL avenue
inaugural	NN inaugural
parade	NN parade VB parade
Assuming	VBG assume
weather	NN weather
halfway	QL halfway
decent	JJ decent
hundreds	NNS hundred
mass	VB mass NN mass
thoroughfare	NN thoroughfare
Dwight	NP dwight
leave	VB leave
Hill	NN-TL hill NP hill
oath-taking	JJ oath - taking
ceremonies	NNS ceremony NNS-HL ceremony
ride	VB ride NN ride
historic	JJ historic
ceremonial	JJ ceremonial
impressive	JJ impressive JJ-HL impressive
street	NN street
Columbia	NP-TL columbia
standpoint	NN standpoint
viewpoint	NN viewpoint
approach	VB approach NN approach
buildings	NNS-HL building NNS building
Within	IN within
avenue	NN avenue
government's	NN$ government 's
shrines	NNS shrine
monuments	NNS monument
